02,26D5,FE97,FC0B,FF8B,0046,FF69,26C3,001F,FFFA,
02,26D6,FE99,FC0C,FF33,0067,00C6,05FA,E38F,FA6A,
02,26D6,FE9B,FC0B,FF1A,0128,00F6,0614,E395,FA4C,
02,26D5,FE97,FC0A,FF99,01C7,0073,0626,E399,FA36,
02,26D6,FE8E,FC10,FF02,015A,FE9B,0636,E39C,FA26,
02,26D7,FE80,FC21,FF41,00AA,FCF6,064B,E3A2,FA17,
02,26DB,FE5F,FC58,FF76,00AE,FE7F,0668,E3AB,FA04,
02,26E2,FE3D,FCC0,0026,017F,F943,068D,E3C0,F9FB,
02,26EA,FE2C,FD30,FF09,FFB0,0119,06B8,E3E5,F9F7,
02,26EE,FE2B,FD68,0025,FD72,015D,06D9,E40D,F9F2,
02,26EF,FE2D,FD70,FE61,0053,055C,06EC,E423,F9E8,
02,26EF,FE2D,FD6C,FF4F,0159,02C6,06F7,E428,F9DC,
02,26EF,FE2D,FD6B,FFC5,FFF1,FF0E,06FC,E428,F9D5,
02,26EF,FE2B,FD71,FF24,00A4,FE73,0701,E429,F9D0,
02,26EF,FE24,FD7C,FF19,0165,FEC4,070A,E42D,F9C9,
02,26F0,FE1D,FD8F,FF67,0086,FE30,0718,E433,F9C1,
02,26F1,FE0E,FDAB,FF4E,023B,FE05,0723,E43A,F9BE,
02,26F2,FDFC,FDC7,FFD1,01CB,FF7F,072A,E442,F9C5,
02,26F4,FE04,FDE1,FF25,FF85,0198,072D,E449,F9D4,
02,26F5,FE0F,FDF3,FFBF,FFDA,0229,0724,E450,F9DC,
02,26F5,FE09,FDFA,FF44,FF90,0090,0716,E454,F9E7,
02,26F5,FE16,FDE8,FDDB,FC3A,06E4,070D,E453,F9F6,
02,26F4,FE27,FDCD,FECF,FFDB,02AA,06EF,E449,FA0A,
02,26F4,FE34,FDB7,FF89,0107,FDF4,06CC,E43B,FA1E,
02,26F3,FE44,FDA4,FF85,FF75,FF47,06B1,E430,FA2F,
02,26F3,FE55,FD91,FF68,FF47,0035,0693,E425,FA41,
02,26F2,FE57,FD83,FF90,0221,FE43,0675,E41B,FA51,
02,26F1,FE59,FD79,FF9A,0089,FEED,0661,E412,FA63,
02,26F2,FE5E,FD79,FF79,0101,FE73,064F,E40C,FA73,
02,26F2,FE5E,FD81,FFAE,0137,FE4C,0641,E40A,FA7F,
